ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands
,simple,CLO-121,,Men's Performance Polo,1,0,visible,,"A moisture-wicking polo shirt designed for active wear. Perfect for golf or a casual day out.",,,taxable,,1,,,0,0,,,,,1,,,39.99,"Men > T-Shirts",,,https://images.pexels.com/photos/428340/pexels-photo-428340.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-122,,Women's High-Waist Leggings,1,0,visible,,"Stretchy and supportive high-waist leggings, perfect for yoga, running, or casual comfort.",,,taxable,,1,,,0,0,,,,,1,,,49.99,"Women > Pants",,,https://images.pexels.com/photos/1852382/pexels-photo-1852382.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-123,,Classic Leather Belt,1,0,visible,,"Made from 100% genuine leather with a timeless silver buckle. A wardrobe essential.",,,taxable,,1,,,0,0,,,,,1,,,34.50,"Accessories > Belts",,,https://images.pexels.com/photos/1183266/pexels-photo-1183266.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-124,,Unisex Aviator Sunglasses,1,0,visible,,"Classic aviator sunglasses with 100% UV protection and a lightweight metal frame.",,,taxable,,1,,,0,0,,,,,1,,,55.00,"Accessories > Sunglasses",,,https://images.pexels.com/photos/2204560/pexels-photo-2204560.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-125,,Men's Bomber Jacket,1,0,visible,,"A stylish nylon bomber jacket with a quilted lining. Perfect for transitional weather.",,,taxable,,1,,,0,0,,,,,1,,,89.99,"Men > Jackets",,,https://images.pexels.com/photos/3755706/pexels-photo-3755706.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-126,,Women's Floral Maxi Dress,1,0,visible,,"A flowing, floor-length maxi dress with a beautiful floral print and v-neckline.",,,taxable,,1,,,0,0,,,,,1,,,79.99,"Women > Dresses",,,https://images.pexels.com/photos/5082490/pexels-photo-5082490.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-127,,Men's Cargo Shorts,1,0,visible,,"Durable cotton cargo shorts with multiple pockets for utility and style. Knee-length fit.",,,taxable,,1,,,0,0,,,,,1,,,45.00,"Men > Pants > Shorts",,,https://images.pexels.com/photos/4066291/pexels-photo-4066291.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-128,,Women's Denim Jacket,1,0,visible,,"A timeless denim jacket in a medium wash. Perfect for layering over any outfit.",,,taxable,,1,,,0,0,,,,,1,,,69.50,"Women > Jackets",,,https://images.pexels.com/photos/1656684/pexels-photo-1656684.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-129,,Unisex Sports Backpack,1,0,visible,,"A durable, water-resistant backpack with a laptop sleeve and multiple compartments.",,,taxable,,1,,,0,0,,,,,1,,,59.99,"Accessories > Bags",,,https://images.pexels.com/photos/7679883/pexels-photo-7679883.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-130,,Men's V-Neck Sweater,1,0,visible,,"A soft, fine-knit v-neck sweater made from a premium cotton-cashmere blend.",,,taxable,,1,,,0,0,,,,,1,,,64.99,"Men > Knitwear",,,https://images.pexels.com/photos/4965545/pexels-photo-4965545.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-131,,Women's Silk Blouse,1,0,visible,,"An elegant long-sleeve blouse made from 100% pure silk. Features a button-front and classic collar.",,,taxable,,1,,,0,0,,,,,1,,,85.00,"Women > Tops",,,https://images.pexels.com/photos/4619747/pexels-photo-4619747.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-132,,Men's Linen Shirt,1,0,visible,,"A breathable, lightweight linen shirt perfect for warm weather. Features a relaxed fit and button-down collar.",,,taxable,,1,,,0,0,,,,,1,,,54.99,"Men > T-Shirts",,,https://images.pexels.com/photos/6311687/pexels-photo-6311687.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-133,,Women's Pencil Skirt,1,0,visible,,"A classic, high-waist pencil skirt with a tailored fit. Hits just below the knee, perfect for the office.",,,taxable,,1,,,0,0,,,,,1,,,49.99,"Women > Skirts",,,https://images.pexels.com/photos/1598507/pexels-photo-1598507.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-134,,Men's Swim Trunks,1,0,visible,,"Quick-dry swim trunks with a comfortable mesh lining and a vibrant pattern.",,,taxable,,1,,,0,0,,,,,1,,,32.00,"Men > Swimwear",,,https://images.pexels.com/photos/1755428/pexels-photo-1755428.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-135,,Women's Knit Cardigan,1,0,visible,,"A cozy, open-front knit cardigan with two front pockets. Perfect for layering.",,,taxable,,1,,,0,0,,,,,1,,,58.00,"Women > Knitwear",,,https://images.pexels.com/photos/10332856/pexels-photo-10332856.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-136,,Unisex Wool Scarf,1,0,visible,,"A soft, oversized scarf made from a warm wool blend. Available in multiple solid colors.",,,taxable,,1,,,0,0,,,,,1,,,39.99,"Accessories > Scarves",,,https://images.pexels.com/photos/985635/pexels-photo-985635.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-137,,Men's Flannel Shirt,1,0,visible,,"A classic plaid flannel shirt made from thick, soft-brushed cotton. A fall essential.",,,taxable,,1,,,0,0,,,,,1,,,49.99,"Men > T-Shirts",,,https://images.pexels.com/photos/322207/pexels-photo-322207.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-138,,Women's Sports Bra,1,0,visible,,"A high-support sports bra with moisture-wicking fabric and a comfortable racerback design.",,,taxable,,1,,,0,0,,,,,1,,,35.00,"Women > Sportswear",,,https://images.pexels.com/photos/1878821/pexels-photo-1878821.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-139,,Men's Dress Socks (3-Pack),1,0,visible,,"A pack of three comfortable, stylish dress socks in assorted patterns. Made from a cotton blend.",,,taxable,,1,,,0,0,,,,,1,,,22.99,"Men > Accessories",,,https://images.pexels.com/photos/1124468/pexels-photo-1124468.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-140,,Women's Trench Coat,1,0,visible,,"A double-breasted trench coat with a belted waist. Water-resistant and fully lined.",,,taxable,,1,,,0,0,,,,,1,,,129.99,"Women > Jackets",,,https://images.pexels.com/photos/4034515/pexels-photo-4034515.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-141,,Men's Wool Peacoat,1,0,visible,,"A classic double-breasted peacoat made from a heavy wool blend. Features anchor-imprinted buttons.",,,taxable,,1,,,0,0,,,,,1,,,149.99,"Men > Jackets",,,https://images.pexels.com/photos/428340/pexels-photo-428340.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-142,,Women's Ankle Boots,1,0,visible,,"Stylish faux-leather ankle boots with a side zipper and a comfortable block heel.",,,taxable,,1,,,0,0,,,,,1,,,79.50,"Women > Shoes",,,https://images.pexels.com/photos/1852382/pexels-photo-1852382.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-143,,Men's Athletic Shorts,1,0,visible,,"Lightweight, breathable athletic shorts with an elastic waistband and side pockets.",,,taxable,,1,,,0,0,,,,,1,,,29.99,"Men > Pants > Shorts",,,https://images.pexels.com/photos/1183266/pexels-photo-1183266.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-144,,Women's Jumpsuit,1,0,visible,,"A chic and comfortable wide-leg jumpsuit with a tie-waist. Easily dressed up or down.",,,taxable,,1,,,0,0,,,,,1,,,74.99,"Women > Dresses",,,https://images.pexels.com/photos/2204560/pexels-photo-2204560.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-145,,Unisex Panama Hat,1,0,visible,,"A stylish, hand-woven Panama hat perfect for sun protection and a classic summer look.",,,taxable,,1,,,0,0,,,,,1,,,48.00,"Accessories > Hats",,,https://images.pexels.com/photos/3755706/pexels-photo-3755706.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-146,,Men's Straight-Fit Jeans,1,0,visible,,"A classic straight-fit jean in a versatile dark wash. Made with durable stretch denim.",,,taxable,,1,,,0,0,,,,,1,,,69.99,"Men > Jeans",,,https://images.pexels.com/photos/5082490/pexels-photo-5082490.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-147,,Women's A-Line Skirt,1,0,visible,,"A flattering A-line skirt with a button-front detail. Made from a soft corduroy fabric.",,,taxable,,1,,,0,0,,,,,1,,,45.00,"Women > Skirts",,,https://images.pexels.com/photos/4066291/pexels-photo-4066291.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-148,,Men's Puffer Vest,1,0,visible,,"A lightweight, packable puffer vest. Provides core warmth without the bulk. Water-resistant shell.",,,taxable,,1,,,0,0,,,,,1,,,65.00,"Men > Jackets",,,https://images.pexels.com/photos/1656684/pexels-photo-1656684.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-149,,Women's Wide-Leg Trousers,1,0,visible,,"Elegant high-waist, wide-leg trousers. Made from a flowing, lightweight fabric.",,,taxable,,1,,,0,0,,,,,1,,,59.99,"Women > Pants",,,https://images.pexels.com/photos/7679883/pexels-photo-7679883.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-150,,Unisex Leather Gloves,1,0,visible,,"Soft, touchscreen-compatible leather gloves with a warm fleece lining.",,,taxable,,1,,,0,0,,,,,1,,,42.00,"Accessories > Gloves",,,https://images.pexels.com/photos/4965545/pexels-photo-4965545.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-151,,Men's Oxford Shirt,1,0,visible,,"A classic button-down Oxford shirt. 100% cotton, perfect for smart-casual wear.",,,taxable,,1,,,0,0,,,,,1,,,49.50,"Men > T-Shirts",,,https://images.pexels.com/photos/4619747/pexels-photo-4619747.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-152,,Women's Off-Shoulder Top,1,0,visible,,"A trendy off-the-shoulder top with ruffled details. Made from a light, airy cotton.",,,taxable,,1,,,0,0,,,,,1,,,38.00,"Women > Tops",,,https://images.pexels.com/photos/6311687/pexels-photo-6311687.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-153,,Men's Formal Trousers,1,0,visible,,"Slim-fit formal trousers made from a high-quality wool blend. Ideal for business wear.",,,taxable,,1,,,0,0,,,,,1,,,75.00,"Men > Pants",,,https://images.pexels.com/photos/1598507/pexels-photo-1598507.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-154,,Women's Faux Fur Coat,1,0,visible,,"A glamorous and cozy faux fur coat with a large collar and hidden closures.",,,taxable,,1,,,0,0,,,,,1,,,139.99,"Women > Jackets",,,https://images.pexels.com/photos/1755428/pexels-photo-1755428.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-155,,Men's Leather Sneakers,1,0,visible,,"Classic white leather sneakers with a clean, minimalist design. Comfortable for all-day wear.",,,taxable,,1,,,0,0,,,,,1,,,89.00,"Men > Shoes",,,https://images.pexels.com/photos/10332856/pexels-photo-10332856.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-156,,Women's Crossbody Bag,1,0,visible,,"A compact and stylish crossbody bag in faux leather, with an adjustable strap and multiple zip pockets.",,,taxable,,1,,,0,0,,,,,1,,,44.99,"Accessories > Bags",,,https://images.pexels.com/photos/985635/pexels-photo-985635.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-157,,Men's Knit Beanie,1,0,visible,,"A classic ribbed-knit beanie made from a soft wool-acrylic blend. One size fits all.",,,taxable,,1,,,0,0,,,,,1,,,24.99,"Accessories > Hats",,,https://images.pexels.com/photos/322207/pexels-photo-322207.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-158,,Women's Denim Shorts,1,0,visible,,"High-rise denim shorts with a frayed hem and a classic 5-pocket design.",,,taxable,,1,,,0,0,,,,,1,,,40.00,"Women > Pants > Shorts",,,https://images.pexels.com/photos/1878821/pexels-photo-1878821.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-159,,Men's Terry Cloth Robe,1,0,visible,,"A plush, absorbent terry cloth robe with a shawl collar and tie-waist. Perfect for lounging.",,,taxable,,1,,,0,0,,,,,1,,,68.00,"Men > Loungewear",,,https://images.pexels.com/photos/1124468/pexels-photo-1124468.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-160,,Women's Satin Pajama Set,1,0,visible,,"A luxurious satin pajama set including a button-down top and matching pants.",,,taxable,,1,,,0,0,,,,,1,,,59.99,"Women > Loungewear",,,https://images.pexels.com/photos/4034515/pexels-photo-4034515.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-161,,Men's Half-Zip Pullover,1,0,visible,,"A sporty half-zip pullover made from performance fleece. Great for layering.",,,taxable,,1,,,0,0,,,,,1,,,55.00,"Men > Sweatshirts",,,https://images.pexels.com/photos/428340/pexels-photo-428340.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-162,,Women's Turtleneck Top,1,0,visible,,"A slim-fit, long-sleeve turtleneck top. A versatile layering piece made from a soft cotton blend.",,,taxable,,1,,,0,0,,,,,1,,,29.99,"Women > Tops",,,https://images.pexels.com/photos/1852382/pexels-photo-1852382.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-163,,Men's Messenger Bag,1,0,visible,,"A durable canvas messenger bag with leather accents, a padded laptop compartment, and an adjustable shoulder strap.",,,taxable,,1,,,0,0,,,,,1,,,79.99,"Accessories > Bags",,,https://images.pexels.com/photos/1183266/pexels-photo-1183266.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-164,,Women's Rain Jacket,1,0,visible,,"A lightweight, waterproof rain jacket with a drawstring hood and sealed seams.",,,taxable,,1,,,0,0,,,,,1,,,79.00,"Women > Jackets",,,https://images.pexels.com/photos/2204560/pexels-photo-2204560.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-165,,Men's Ankle Socks (5-Pack),1,0,visible,,"A pack of five cushioned ankle socks, designed for athletic comfort. Moisture-wicking fabric.",,,taxable,,1,,,0,0,,,,,1,,,19.99,"Men > Accessories",,,https://images.pexels.com/photos/3755706/pexels-photo-3755706.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-166,,Women's Pleated Midi Skirt,1,0,visible,,"An elegant, pleated midi skirt with a comfortable elastic waistband. Shimmering metallic fabric.",,,taxable,,1,,,0,0,,,,,1,,,54.50,"Women > Skirts",,,https://images.pexels.com/photos/5082490/pexels-photo-5082490.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-167,,Men's Pique Polo Shirt,1,0,visible,,"A classic pique polo shirt with a two-button placket and ribbed collar. 100% cotton.",,,taxable,,1,,,0,0,,,,,1,,,35.00,"Men > T-Shirts",,,https://images.pexels.com/photos/4066291/pexels-photo-4066291.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
,simple,CLO-168,,Women's Ballet Flats,1,0,visible,,"Comfortable and classic ballet flats with a cushioned insole and flexible sole.",,,taxable,,1,,,0,0,,,,,1,,,45.00,"Women > Shoes",,,https://images.pexels.com/photos/1656684/pexels-photo-1656684.jpeg?auto=compress&cs=tinysrgb&w=600,,,,,,,,,0,
